date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:33:52	162126/162126	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Apr%202024%2007:33:56%20GMT	https://hoilhpn.org.vn/trang-chu	E:/Task/Pj/HoiPN/hoilhpn.org.vn/trang-chu.html	(from )
14:33:53	43/43	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Apr%202024%2007:33:57%20GMT	https://hoilhpn.org.vn/robots.txt		(from )
14:33:53	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22f8f45206%22	https://hoilhpn.org.vn/CTT_HLHPN-theme/images/favicon.ico	E:/Task/Pj/HoiPN/hoilhpn.org.vn/CTT_HLHPN-theme/images/favicon.ico	(from https://hoilhpn.org.vn/trang-chu)
14:33:53	670/670	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2007:33:58%20GMT	https://hoilhpn.org.vn/	E:/Task/Pj/HoiPN/hoilhpn.org.vn/index.html	(from https://hoilhpn.org.vn/trang-chu)
14:33:53	670/670	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2007:33:58%20GMT	https://hoilhpn.org.vn/vi	E:/Task/Pj/HoiPN/hoilhpn.org.vn/vi.2.delayed	(from https://hoilhpn.org.vn/trang-chu)
14:33:54	670/670	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202024%2007:33:58%20GMT	https://hoilhpn.org.vn/en	E:/Task/Pj/HoiPN/hoilhpn.org.vn/en.3.delayed	(from https://hoilhpn.org.vn/trang-chu)
14:33:54	168123/168123	---M-Z	200	added ('OK')	text/css	etag:%221f7e5216%22	https://hoilhpn.org.vn/CTT_HLHPN-theme/css/aui.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1590204257000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/CTT_HLHPN-theme/css/aui702f.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:55	122412/122412	---M-Z	200	added ('OK')	text/css	etag:%221d961b8b%22	https://hoilhpn.org.vn/html/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1467517605000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/html/css/mainc41f.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:55	213/213	---M-Z	200	added ('OK')	text/css	etag:%22ba77857d%22	https://hoilhpn.org.vn/CmsView-EcoIT-portlet/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1704845322000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/CmsView-EcoIT-portlet/css/mainb915.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:56	142/142	---M-Z	200	added ('OK')	text/css	etag:%222152b373%22	https://hoilhpn.org.vn/ECOIT-LichTuan-portlet/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1704845322000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/ECOIT-LichTuan-portlet/css/mainb915.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:56	1438/1438	---M-Z	200	added ('OK')	text/css	etag:%2258c07a2d%22	https://hoilhpn.org.vn/ELegalDocument-portlet/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1704845322000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/ELegalDocument-portlet/css/mainb915.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:56	395/395	---M-Z	200	added ('OK')	text/css	etag:%22ff4f56a9%22	https://hoilhpn.org.vn/Ecoit_QuangCao-portlet/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1704845324000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/Ecoit_QuangCao-portlet/css/mainae1b.css	(from https://hoilhpn.org.vn/trang-chu)
14:33:57	100/100	---M-Z	200	added ('OK')	text/css	etag:%22871efd32%22	https://hoilhpn.org.vn/ECOIT-ThuVienAnh-portlet/css/main.css?browserId=other&themeId=CTT_HLHPN_WAR_CTT_HLHPNtheme&minifierType=css&languageId=vi_VN&b=6205&t=1704845322000	E:/Task/Pj/HoiPN/hoilhpn.org.vn/ECOIT-ThuVienAnh-portlet/css/mainb915.css	(from https://hoilhpn.org.vn/trang-chu)
